,ds,yhat,yhat_lower,yhat_upper
0,2020-07-11 18:31:00,0.013398341616291876,0.012273488181084138,0.01463863681305389
1,2020-07-11 18:32:00,0.013401369875424032,0.01223229431081069,0.014573946065979228
2,2020-07-11 18:33:00,0.01340439558101521,0.012222053731999884,0.014547543637778344
3,2020-07-11 18:34:00,0.013407420826965255,0.012203045304082377,0.014625471395654318
4,2020-07-11 18:35:00,0.013410447715544995,0.012231611344877573,0.014671980084295544
5,2020-07-11 18:36:00,0.01341347835655258,0.012221111261752229,0.014626287039974194
6,2020-07-11 18:37:00,0.013416514866972403,0.012184098694698449,0.014603647129395629
7,2020-07-11 18:38:00,0.013419559370363947,0.012221506726866217,0.014565291147005423
8,2020-07-11 18:39:00,0.013422613996161365,0.012258808042598579,0.014654381468605803
9,2020-07-11 18:40:00,0.013425680879364696,0.012183238878524074,0.014598376886812769
10,2020-07-11 18:41:00,0.013428762159667462,0.012100044992984648,0.01463609355941442
11,2020-07-11 18:42:00,0.013431859981054966,0.012157174180489286,0.014637142498972112
12,2020-07-11 18:43:00,0.013434976491267916,0.012278892870220512,0.014653494764855942
13,2020-07-11 18:44:00,0.0134381138410302,0.012168615115551246,0.014610762490634196
14,2020-07-11 18:45:00,0.013441274183638673,0.012266533969356046,0.014617818698818952
15,2020-07-11 18:46:00,0.013444459674333921,0.0122778128817651,0.014599730141998541
16,2020-07-11 18:47:00,0.013447672469654247,0.012207527257845673,0.014664342442682337
17,2020-07-11 18:48:00,0.013450914726880047,0.012251618915952583,0.01463937829602204
18,2020-07-11 18:49:00,0.01345418860353062,0.012231250643126407,0.014646073995004926
19,2020-07-11 18:50:00,0.013457496256592191,0.01226438375835573,0.014623651074682735
20,2020-07-11 18:51:00,0.013460839842139811,0.012315475414290894,0.014686161635956724
21,2020-07-11 18:52:00,0.013464221514524293,0.012199564838848886,0.014702842786647954
22,2020-07-11 18:53:00,0.013467643425944724,0.012227751242945548,0.014653880510471746
23,2020-07-11 18:54:00,0.01347110772582202,0.012332909237458018,0.014712701677556886
24,2020-07-11 18:55:00,0.013474616560105466,0.012236778951312132,0.014678755034350718
25,2020-07-11 18:56:00,0.013478172070798029,0.01221263143416626,0.014661566391789175
26,2020-07-11 18:57:00,0.013481776395324488,0.012256472412482131,0.01466786606340443
27,2020-07-11 18:58:00,0.013485431665914295,0.012349191713274785,0.014790063067721222
28,2020-07-11 18:59:00,0.013489140008973262,0.012279910956455184,0.014727649228096221
29,2020-07-11 19:00:00,0.013492903544605805,0.012260079766347605,0.014710768212012185
30,2020-07-11 19:01:00,0.013496724385921652,0.01231231216572069,0.014681070888919786
31,2020-07-11 19:02:00,0.01350060463841826,0.012241374599435985,0.014672492352286836
